RK,TEAM,"OFFENSE
DVOA","LAST
YEAR","WEI.
OFFENSE",RK,"PASS
OFF",RK,"RUSH
OFF",RK,"NON-ADJ
TOTAL","NON-ADJ
PASS","NON-ADJ
RUSH",VAR,RK,SCHED,RK
1,KC,34.2%,4,30.6%,1,62.9%,1,11.0%,4,33.1%,60.2%,12.2%,7.7%,22,-0.9%,11
2,LAR,24.6%,6,19.3%,2,32.9%,5,21.3%,1,24.1%,32.7%,20.4%,10.1%,28,-0.2%,15
3,LAC,20.7%,7,17.1%,3,41.6%,2,4.2%,7,21.2%,39.8%,7.4%,4.9%,8,0.3%,17
4,NO,15.9%,2,13.4%,7,34.5%,3,3.3%,8,17.5%,36.8%,4.3%,7.0%,18,3.4%,31
5,NE,14.5%,1,16.1%,4,33.0%,4,2.5%,9,13.9%,32.4%,2.1%,3.7%,5,-2.5%,4
6,PIT,13.8%,3,15.0%,6,25.5%,8,-2.4%,12,12.9%,22.4%,0.8%,6.4%,14,0.8%,22
7,GB,11.1%,15,10.4%,10,18.0%,12,12.4%,3,8.9%,13.8%,13.9%,6.9%,17,-2.3%,5
8,ATL,8.8%,9,7.8%,11,26.7%,7,-10.7%,22,11.7%,29.5%,-7.5%,9.4%,26,2.6%,30
9,SEA,8.8%,14,11.3%,9,27.2%,6,4.3%,6,11.0%,32.2%,4.5%,4.6%,7,0.2%,16
10,IND,8.2%,29,15.9%,5,21.3%,10,-3.2%,13,7.9%,21.9%,-5.1%,6.1%,12,-0.7%,14
11,CAR,6.0%,17,4.1%,12,9.2%,19,12.9%,2,10.7%,16.3%,14.7%,7.5%,21,3.5%,32
12,TB,5.9%,11,4.0%,13,24.0%,9,-11.9%,24,4.9%,24.9%,-15.7%,5.8%,10,0.5%,19
13,NYG,1.3%,23,1.1%,15,14.9%,15,-6.5%,16,-1.2%,13.8%,-11.0%,5.5%,9,-0.8%,13
14,DEN,1.1%,31,-0.4%,17,0.4%,24,7.7%,5,3.3%,2.5%,10.1%,4.4%,6,1.5%,25
15,BAL,0.9%,21,-1.3%,19,15.7%,14,-1.9%,10,2.3%,13.3%,3.1%,2.9%,2,2.0%,27
16,PHI,-0.3%,8,3.7%,14,18.0%,11,-13.6%,27,0.8%,19.1%,-12.3%,3.5%,3,0.6%,20
17,CLE,-1.1%,32,12.3%,8,7.8%,21,-6.6%,17,1.3%,8.6%,-2.1%,7.1%,19,1.3%,24
18,MIN,-1.3%,5,-1.1%,18,13.4%,16,-16.3%,28,-5.6%,9.2%,-20.8%,2.8%,1,-0.9%,9
19,CIN,-3.3%,22,-10.0%,24,9.5%,18,-3.6%,14,-2.6%,9.9%,-2.3%,7.7%,23,0.3%,18
20,CHI,-3.4%,28,-2.3%,21,8.5%,20,-7.0%,19,0.3%,14.1%,-5.4%,8.1%,24,2.5%,29
21,HOU,-3.5%,25,-1.4%,20,17.8%,13,-13.0%,26,-3.2%,17.4%,-11.8%,7.1%,20,-2.3%,6
22,TEN,-5.1%,18,0.8%,16,-0.2%,25,-2.3%,11,-6.3%,1.8%,-6.3%,8.9%,25,-3.6%,2
23,DET,-5.2%,12,-2.7%,22,3.7%,22,-12.0%,25,-7.2%,0.5%,-12.2%,6.8%,15,-3.0%,3
24,DAL,-6.6%,10,-4.2%,23,-0.8%,26,-6.9%,18,-3.4%,0.1%,-1.0%,3.7%,4,2.2%,28
25,OAK,-7.1%,13,-10.5%,25,12.0%,17,-16.5%,29,-9.5%,8.2%,-17.3%,11.8%,29,-0.8%,12
26,MIA,-8.9%,27,-11.9%,26,-3.7%,27,-4.4%,15,-14.3%,-10.6%,-8.3%,15.8%,32,-2.3%,7
27,SF,-15.4%,19,-16.5%,28,2.9%,23,-22.4%,32,-14.4%,2.2%,-19.6%,6.9%,16,0.6%,21
28,NYJ,-19.5%,24,-16.3%,27,-8.2%,28,-20.7%,30,-22.7%,-9.8%,-25.9%,9.7%,27,-4.0%,1
29,WAS,-19.5%,20,-28.6%,31,-19.5%,29,-7.1%,20,-15.4%,-11.6%,-7.2%,12.3%,30,1.6%,26
30,JAX,-22.0%,16,-26.6%,30,-24.3%,30,-10.6%,21,-21.8%,-20.8%,-14.4%,6.2%,13,-0.9%,10
31,BUF,-27.5%,26,-16.6%,29,-36.0%,31,-11.4%,23,-27.8%,-37.2%,-10.8%,13.6%,31,-2.1%,8
32,ARI,-41.1%,30,-44.4%,32,-46.9%,32,-21.4%,31,-40.2%,-46.9%,-19.1%,5.9%,11,0.9%,23
