team,rec,home_rec,away_rec,offense,defense,
STL,6,4,5,3,4,4,3,
TB,7,1,7,1,3,1,1,
TEN,7,1,8,2,2,2,1,
IND,5,8,5,8,6,7,8,
DET,3,8,2,4,5,8,3,
DAL,6,8,4,7,8,5,8,
NYJ,4,2,6,3,3,3,2,
NYG,7,4,6,6,4,4,5,
CHI,7,3,8,3,4,3,3,
WAS,6,2,8,5,2,4,2,
CLE,6,5,4,3,4,5,2,
PHI,7,7,6,7,5,7,8,
MIA,5,5,5,5,5,5,5,
SD,5,6,4,4,5,6,4,
CIN,6,7,4,5,6,6,4,
BAL,5,7,2,6,5,7,6,
BUF,3,6,2,3,5,6,4,
SEA,1,8,1,6,6,8,5,
NO,8,5,7,8,5,4,6,
MIN,5,5,4,3,3,6,3,
PIT,6,8,5,8,6,7,7,
HOU,5,6,3,4,5,6,5,
OAK,6,1,8,1,1,4,1,
KC,4,6,2,3,4,7,4,
ATL,8,4,7,6,4,4,5,
SF,4,5,4,3,5,5,2,
DEN,3,8,5,8,5,8,8,
ARI,7,8,2,3,5,8,3,
NE,5,8,3,6,6,8,8,
CAR,5,5,5,4,4,5,4,
JAC,7,1,7,1,1,4,1,
GB,5,8,4,7,5,8,8,
