home,away,rec,op_rec,home_rec,op_away_rec,off,def,op_off,op_def,hop,aop,hdp,adp,div,result
-1,-1,8,8,8,8,8,8,8,8,8,8,8,8,2,2
result
NE,KC,8,7,7,5,8,8,7,7,8,6,2,4,False,False
BUF,NYJ,6,4,7,2,2,7,2,6,3,3,5,6,True,True
WAS,PHI,5,8,6,7,4,6,7,3,4,8,6,2,True,False
TEN,OAK,6,4,7,3,3,5,4,6,4,3,5,6,False,False
HOU,JAX,3,7,4,5,3,6,7,1,4,7,8,1,True,False
DET,ARI,6,5,5,4,5,7,3,3,6,3,6,5,False,True
CLE,PIT,1,8,1,8,2,5,8,3,1,6,7,3,True,False
CHI,ATL,4,7,4,6,1,4,6,4,1,4,3,3,False,False
CIN,BAL,5,6,5,5,1,5,2,4,2,6,5,3,True,False
LA,IND,7,3,5,2,6,5,1,8,8,1,4,7,False,True
SF,CAR,4,7,4,6,5,6,4,4,4,5,6,4,False,False
GB,SEA,5,6,5,6,2,6,4,4,3,5,6,4,False,True
DAL,NYG,6,2,4,2,4,4,3,8,4,1,4,6,True,True
MIN,NO,8,7,8,5,6,1,8,5,5,8,1,4,False,True
DEN,LAC,4,6,5,5,4,2,7,4,2,4,6,1,True,True
CIN,HOU,5,3,5,2,1,5,3,6,2,4,5,8,False,False
BAL,CLE,6,1,6,1,2,4,2,5,6,1,3,7,True,True
TB,CHI,4,4,5,3,6,8,1,4,4,1,6,3,False,True
PIT,MIN,8,8,7,7,8,3,6,1,6,5,3,1,False,True
NO,NE,7,8,8,8,8,5,8,8,8,8,4,2,False,False
KC,PHI,7,8,7,7,7,7,7,3,6,8,4,2,False,True
JAX,TEN,7,6,7,4,7,1,3,5,7,4,1,5,True,False
IND,ARI,3,5,4,4,1,8,3,3,1,3,7,5,False,False
CAR,BUF,7,6,7,4,4,4,2,7,5,3,4,5,False,True
OAK,NYJ,4,4,5,2,4,6,2,6,3,3,6,6,False,True
LAC,MIA,6,4,6,3,7,4,2,5,4,2,1,7,False,False
SEA,SF,6,4,5,4,4,4,5,6,5,4,4,6,True,True
LA,WAS,7,5,5,3,6,5,4,6,8,4,4,6,False,False
DEN,DAL,4,6,5,7,4,2,4,4,2,4,6,4,False,True
ATL,GB,7,5,6,4,6,4,2,6,4,3,3,6,False,True
NYG,DET,2,6,3,6,3,8,5,7,1,6,6,6,False,False
SF,LA,4,7,4,8,5,6,6,5,4,8,6,4,True,False
JAX,BAL,7,6,7,5,7,1,2,4,7,6,1,3,False,True
IND,CLE,3,1,4,1,1,8,2,5,1,1,7,7,False,True
PHI,NYG,8,2,8,2,7,3,3,8,8,1,2,6,True,True
NYJ,MIA,4,4,5,3,2,6,2,5,3,2,6,7,True,True
BUF,DEN,6,4,7,2,2,7,4,2,3,2,5,6,False,True
CAR,NO,7,7,7,5,4,4,8,5,5,8,4,4,True,False
CHI,PIT,4,8,4,8,1,4,8,3,1,6,3,3,False,True
DET,ATL,6,7,5,6,5,7,6,4,6,4,6,3,False,False
MIN,TB,8,4,8,2,6,1,6,8,5,4,1,6,False,True
NE,HOU,8,3,7,2,8,8,3,6,8,4,2,8,False,True
TEN,SEA,6,6,7,6,3,5,4,4,4,5,5,4,False,True
GB,CIN,5,5,5,4,2,6,1,5,3,2,6,5,False,True
LAC,KC,6,7,6,5,7,4,7,7,4,6,1,4,True,False
WAS,OAK,5,4,6,3,4,6,4,6,4,3,6,6,False,True
ARI,DAL,5,6,6,7,3,3,4,4,3,4,5,4,False,False
GB,CHI,5,4,5,3,2,6,1,4,3,1,6,3,True,True
MIA,NO,4,7,5,5,2,5,8,5,2,8,7,4,False,False
HOU,TEN,3,6,4,4,3,6,3,5,4,4,8,5,True,True
NYJ,JAX,4,7,5,5,2,6,7,1,3,7,6,1,False,True
NE,CAR,8,7,7,6,8,8,4,4,8,5,2,4,False,False
MIN,DET,8,6,8,6,6,1,5,7,5,6,1,6,True,False
ATL,BUF,7,6,6,4,6,4,2,7,4,3,3,5,False,False
BAL,PIT,6,8,6,8,2,4,8,3,6,6,3,3,True,False
CLE,CIN,1,5,1,4,2,5,1,5,1,2,7,5,True,False
DAL,LA,6,7,4,8,4,4,6,5,4,8,4,4,False,False
LAC,PHI,6,8,6,7,7,4,7,3,4,8,1,2,False,False
TB,NYG,4,2,5,2,6,8,3,8,4,1,6,6,False,True
ARI,SF,5,4,6,4,3,3,5,6,3,4,5,6,True,True
DEN,OAK,4,4,5,3,4,2,4,6,2,3,6,6,True,True
SEA,IND,6,3,5,2,4,4,1,8,5,1,4,7,False,True
KC,WAS,7,5,7,3,7,7,4,6,6,4,4,6,False,True
TB,NE,4,8,5,8,6,8,8,8,4,8,6,2,False,False
CLE,NYJ,1,4,1,2,2,5,2,6,1,3,7,6,False,False
