home,away,rec,op_rec,home_rec,op_away_rec,off,def,op_off,op_def,hop,aop,hdp,adp,div,result
-1,-1,4,4,4,4,4,4,4,4,4,4,4,4,2,2
result
PHI,ATL,3,2,3,2,3,3,4,4,2,3,2,4,False,True
BAL,BUF,3,2,3,2,3,1,2,1,2,1,1,2,False,True
NYG,JAX,1,1,1,2,3,3,2,1,2,1,3,1,False,False
NO,TB,4,1,3,1,4,2,4,4,4,3,2,4,True,False
NE,HOU,4,4,4,3,4,3,3,2,3,3,1,1,False,True
MIN,SF,3,1,3,1,3,1,3,2,2,2,2,4,False,True
MIA,TEN,2,3,3,2,2,4,2,2,2,2,4,1,False,True
IND,CIN,3,2,3,2,4,2,2,4,3,2,2,4,False,False
CLE,PIT,2,3,3,3,3,4,4,2,2,3,3,2,True,True
LAC,KC,4,4,3,3,3,2,4,4,3,4,2,4,True,False
DEN,SEA,2,3,2,3,3,3,3,2,2,3,2,2,False,True
CAR,DAL,2,3,3,2,3,3,3,2,2,2,3,1,False,True
ARI,WAS,1,2,1,3,1,3,2,3,1,1,4,2,False,False
GB,CHI,2,4,3,3,3,3,3,1,2,3,3,1,True,True
DET,NYJ,2,1,2,2,2,2,2,3,2,2,2,4,False,False
OAK,LA,1,4,2,4,3,3,4,3,1,4,4,3,False,False
CIN,BAL,2,3,2,3,2,4,3,1,2,2,4,1,True,True
ATL,CAR,2,2,2,2,4,4,3,3,3,2,4,3,True,True
WAS,IND,2,3,2,3,2,3,4,2,1,3,2,2,False,False
TEN,HOU,3,4,3,3,2,2,3,2,2,3,1,1,True,True
TB,PHI,1,3,2,3,4,4,3,3,3,2,4,2,False,True
PIT,KC,3,4,3,3,4,2,4,4,3,4,2,4,False,False
NYJ,MIA,1,2,1,1,2,3,2,4,2,2,4,4,True,False
BUF,LAC,2,4,2,4,2,1,3,2,1,3,2,2,False,False
GB,MIN,2,3,3,2,3,3,3,1,2,2,3,2,True,True
NO,CLE,4,2,3,2,4,2,3,4,4,2,2,3,False,True
SF,DET,1,2,2,2,3,2,2,2,2,2,4,2,False,True
LA,ARI,4,1,4,2,4,3,1,3,4,1,3,4,True,True
JAX,NE,1,4,2,2,2,1,4,3,1,3,1,1,False,True
DEN,OAK,2,1,2,1,3,3,3,3,2,1,2,4,True,True
DAL,NYG,3,1,4,2,3,2,3,3,2,2,1,3,True,True
CHI,SEA,4,3,4,3,3,1,3,2,3,3,1,2,False,True
CLE,NYJ,2,1,3,2,3,4,2,3,2,2,3,4,False,True
ATL,NO,2,4,2,4,4,4,4,2,3,4,4,2,True,False
WAS,GB,2,2,2,1,2,3,3,3,1,2,2,3,False,True
PHI,IND,3,3,3,3,3,3,4,2,2,3,2,2,False,True
MIN,BUF,3,2,3,2,3,1,2,1,2,1,2,2,False,False
MIA,OAK,2,1,3,1,2,4,3,3,2,1,4,4,False,True
BAL,DEN,3,2,3,2,3,1,3,3,2,2,1,2,False,True
CAR,CIN,2,2,3,2,3,3,2,4,2,2,3,4,False,True
HOU,NYG,4,1,3,2,3,2,3,3,3,2,1,3,False,False
JAX,TEN,1,3,2,2,2,1,2,2,1,2,1,1,True,False
KC,SF,4,1,4,1,4,4,3,2,4,2,4,4,False,True
LA,LAC,4,4,4,4,4,3,3,2,4,3,3,2,False,True
SEA,DAL,3,3,3,2,3,2,3,2,3,2,2,1,False,True
ARI,CHI,1,4,1,3,1,3,3,1,1,3,4,1,False,False
DET,NE,2,4,2,2,2,2,4,3,2,3,2,1,False,True
TB,PIT,1,3,2,3,4,4,4,2,3,3,4,2,False,False
LA,MIN,4,3,4,2,4,3,3,1,4,2,3,2,False,True
JAX,NYJ,1,1,2,2,2,1,2,3,1,2,1,4,False,True
NE,MIA,4,2,4,1,4,3,2,4,3,2,1,4,True,True
TEN,PHI,3,3,3,3,2,2,3,3,2,2,1,2,False,True
IND,HOU,3,4,3,3,4,2,3,2,3,3,2,1,True,False
GB,BUF,2,2,3,2,3,3,2,1,2,1,3,2,False,True
DAL,DET,3,2,4,2,3,2,2,2,2,2,1,2,False,True
CHI,TB,4,1,4,1,3,1,4,4,3,3,1,4,False,True
ATL,CIN,2,2,2,2,4,4,2,4,3,2,4,4,False,False
ARI,SEA,1,3,1,3,1,3,3,2,1,3,4,2,True,False
OAK,CLE,1,2,2,2,3,3,3,4,1,2,4,3,False,True
NYG,NO,1,4,1,4,3,3,4,2,2,4,3,2,False,False
LAC,SF,4,1,3,1,3,2,3,2,3,2,2,4,False,True
PIT,BAL,3,3,3,3,4,2,3,1,3,2,2,1,True,False
DEN,KC,2,4,2,3,3,3,4,4,2,4,2,4,True,False
NE,IND,4,3,4,3,4,3,4,2,3,3,1,2,False,True
BUF,TEN,2,3,2,2,2,1,2,2,1,2,2,1,False,True
PIT,ATL,3,2,3,2,4,2,4,4,3,3,2,4,False,True
NYJ,DEN,1,2,1,2,2,3,3,3,2,2,4,2,False,True
KC,JAX,4,1,4,2,4,4,2,1,4,1,4,1,False,True
DET,GB,2,2,2,1,2,2,3,3,2,2,2,3,True,True
CLE,BAL,2,3,3,3,3,4,3,1,2,2,3,1,True,True
CAR,NYG,2,1,3,2,3,3,3,3,2,2,3,3,False,True
CIN,MIA,2,2,2,1,2,4,2,4,2,2,4,4,False,True
LAC,OAK,4,1,3,1,3,2,3,3,3,1,2,4,True,True
SF,ARI,1,1,2,2,3,2,1,3,2,1,4,4,True,False
PHI,MIN,3,3,3,2,3,3,3,1,2,2,2,2,False,False
SEA,LA,3,4,3,4,3,2,4,3,3,4,2,3,True,False
HOU,DAL,4,3,3,2,3,2,3,2,3,2,1,1,False,True
NO,WAS,4,2,3,3,4,2,2,3,4,1,2,2,False,True
NYG,PHI,1,3,1,3,3,3,3,3,2,2,3,2,True,False
ATL,TB,2,1,2,1,4,4,4,4,3,3,4,4,True,True
WAS,CAR,2,2,2,2,2,3,3,3,1,2,2,3,False,True
OAK,SEA,1,3,2,3,3,3,3,2,1,3,4,2,False,False
NYJ,IND,1,3,1,3,2,3,4,2,2,3,4,2,False,True
MIN,ARI,3,1,3,2,3,1,1,3,2,1,2,4,False,True
